"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"343",8.10144391841,8.13517524596,2764,0,8135.17524596,0,4.61131063977,2.94326166641,2.74654743328e-05,2.76506265125e-05,773.9,701.8,"rn"
"353",8.04700160851,8.12002706084,2621,0,8120.02706084,0,4.5142772007,3.09806450242,2.86976455623e-05,3.6166265916e-05,938.5,834.7,"rn"
"357",5.23884553772,5.24024004684,1479,0,5240.24004684,0,3.94376994344,3.54309671862,4.21085138723e-06,4.43990948626e-06,691.6,684.6,"rn"
"360",4.64507767183,5.24859405302,1777,32,4668.55338336,1.04066966206,3.37879400355,2.62721068281,0.000135627441457,1.18404909209e-05,579,0,"rn"
"371",3.84435504718,3.85117888041,920,0,3851.17888041,0,6.25724016133,4.18606400045,1.93530511846e-05,1.90929295289e-05,453,416,"rn"
"388",3.1583654496,3.22921878388,1646,26,3223.63882829,5.5799555873,2.92244661813,1.95846830395,4.78760303115e-05,4.89525365152e-05,52.9,28.9,"rn"
"406",16.2503299503,16.289257932,4500,20,16285.3175779,3.94035409133,7.18546754938,3.61895946176,1.3612031305e-05,1.3612031305e-05,812,765,"rn"
"413",9.17776270543,9.21588189491,3343,0,9215.88189491,0,3.91070276933,2.75676993566,1.86428877594e-05,1.85339287427e-05,670,626,"rn"
"418",11.3583559901,11.5705752833,3972,320,11542.7035907,27.8716926191,4.34857638317,2.90601802383,4.57531002243e-05,4.58059247704e-05,247.4,165.2,"rn"
"425",6.24553381169,6.28686647491,3283,1566,6252.08169176,34.7847831545,2.68749183282,1.90438065542,2.53317017841e-05,2.5251644576e-05,236,196.4,"rn"
"433",6.26396062878,6.36185260091,2126,0,6361.85260091,0,4.25110634319,2.99240479817,4.17898539779e-05,4.45197561937e-05,393.1,326.8,"rn"
"439",12.119344672,12.1530933786,4700,0,12153.0933786,0,4.81550252089,2.58576454863,1.84993500942e-05,2.08922187504e-05,308,219,"rn"
"445",19.5241050361,19.5360269643,6912,415,19485.0470906,50.9798737656,3.54246612801,2.81901722954,1.14181930279e-05,1.09828337639e-05,355,309.3,"rn"
"454",7.45056894729,7.51753855924,3599,0,7517.53855924,0,2.71871793297,2.08878537351,2.53188717982e-05,2.51041230976e-05,34.9,1.9,"rn"
"458",10.3934106487,10.916290922,3620,0,10916.290922,0,4.13549378494,3.01554997846,7.10873480294e-05,7.01155784784e-05,738.8,650,"rn"
"461",3.04695462404,3.04876844323,480,0,3048.76844323,0,9.88333318061,6.35160092339,6.2029148222e-06,5.54652171932e-06,526,508,"rn"
"470",12.2381260927,12.3758868774,3927,0,12375.8868774,0,4.98123777688,3.15148634515,5.17162509362e-05,3.67793236145e-05,1200.7,677,"rn"
"483",9.74655049356,9.90899332698,3376,30,9904.72992365,4.26340333287,3.30973818763,2.93386549871,3.29511451474e-05,2.65078398938e-05,302.5,168.3,"rn"
"489",6.21182631077,6.36599260952,2293,0,6365.99260952,0,3.88887219363,2.77627239839,3.52907484905e-05,3.57897965715e-05,74.9,35.9,"rn"
"496",9.94434226184,10.2737941476,3540,30,10273.7941476,0,3.86583793846,2.90220173661,4.79528949672e-05,5.23775214374e-05,307.5,224,"rn"
"513",6.69707319837,6.70185072054,2244,0,6701.85072054,0,5.68662430581,2.98656449222,6.06234974554e-06,6.06234974554e-06,11,4,"rn"
"514",6.38647909885,6.39158287092,2253,259,6360.12068471,31.4621862104,3.65257036647,2.8229563625,8.5007715769e-06,7.74918374178e-06,37.1,19.9,"rn"
"522",6.30253342474,6.32151738345,2825,779,6236.7506937,84.7666897459,3.13639615424,2.2076993606,1.12208845609e-05,1.35691466013e-05,58,18,"rn"
"539",8.52940044059,8.62357508668,4707,167,8600.51106936,23.0640173155,3.21543410144,1.82717464826,5.58831776418e-05,5.45817966037e-05,885.8,511,"rn"
"551",8.76035461249,8.77646387739,2967,0,8776.46387739,0,3.99976766461,2.95802624786,1.88348539869e-05,1.6323540122e-05,184,107,"rn"
"557",10.8082872174,10.8827133705,4651,122,10877.9726961,4.74067440436,3.64448848939,2.33884598927,3.4900071807e-05,3.15692942957e-05,321.3,131.9,"rn"
"558",5.77736642395,5.83226031388,2194,46,5821.54642726,10.7138866211,3.08570911841,2.65339399602,3.30427371213e-05,3.35620048602e-05,715,675,"rn"
"593",8.92412610459,9.18418609665,2553,0,9184.18609665,0,6.3047775405,3.59740936022,4.63014523951e-05,4.49791940741e-05,129,-49,"rn"
"599",6.44876923058,6.59822242427,2212,0,6597.71514706,0,4.23319383612,2.9826922003,3.80165565295e-05,4.02030202555e-05,41.8,0,"rn"
"611",6.73247686251,6.86098651026,2270,0,6860.98651026,0,3.76556264267,3.02246101774,4.66098891104e-05,4.30450792358e-05,834,744,"rn"
"619",4.64421587139,4.76514450257,1560,0,4765.14450257,0,4.31969278085,3.05457980934,5.52063054561e-05,5.78116968365e-05,733.1,690.8,"rn"
"621",7.03678771469,8.79307902204,2186,61,7099.49818105,0,4.66147090801,3.2477118852,0.00011936412381,0.00011936412381,131,0,"rn"
"642",5.62640131078,5.67863078426,2162,341,5649.83418353,28.7966007332,4.143710828,2.6132443032,2.82809545944e-05,2.97561426483e-05,146.1,100.2,"rn"
"659",42.5870247137,46.0854267949,23964,1572,45966.4329138,118.993881094,2.93233758966,1.91814525596,7.7025103821e-05,7.65672178773e-05,2282.2,1754.5,"rn"
"664",7.0852258739,7.17792146566,2342,30,7170.30292911,7.61853655328,5.65649351962,3.06161525581,3.71674812754e-05,3.38224926439e-05,287.7,214.2,"rn"
"669",5.17166673938,5.20782800944,1797,0,5207.82800944,0,4.39259032679,2.89806789618,2.62545919609e-05,2.47463741284e-05,382.9,320.7,"rn"
"675",6.30253342474,6.32151738345,2825,779,6236.7506937,84.7666897459,3.13639615424,2.2076993606,1.12208845609e-05,1.35691466013e-05,58,18,"rn"
"676",13.8757921323,14.0258055268,7707,266,13978.8175023,46.9880244897,2.56135473636,1.81378195177,3.31945013019e-05,3.11765984872e-05,139,38,"rn"
